speed	time
0	"2016-04-15 12:18:40,741"
0	"2016-04-15 12:18:41,752"
0	"2016-04-15 12:18:42,776"
0	"2016-04-15 12:18:43,743"
0	"2016-04-15 12:18:44,760"
0	"2016-04-15 12:18:45,750"
0	"2016-04-15 12:18:46,744"
0	"2016-04-15 12:18:47,742"
0	"2016-04-15 12:18:48,743"
0	"2016-04-15 12:18:49,747"
0	"2016-04-15 12:18:50,768"
0	"2016-04-15 12:18:51,750"
0	"2016-04-15 12:18:52,760"
0	"2016-04-15 12:18:53,752"
0	"2016-04-15 12:18:54,742"
0	"2016-04-15 12:18:55,757"
0	"2016-04-15 12:18:56,769"
0	"2016-04-15 12:18:57,758"
0	"2016-04-15 12:18:58,799"
0	"2016-04-15 12:18:59,802"
0	"2016-04-15 12:19:00,781"
0	"2016-04-15 12:19:01,781"
0	"2016-04-15 12:19:02,811"
0	"2016-04-15 12:19:03,805"
0	"2016-04-15 12:19:04,781"
0	"2016-04-15 12:19:05,811"
0	"2016-04-15 12:19:06,801"
0	"2016-04-15 12:19:07,811"
0	"2016-04-15 12:19:08,801"
0	"2016-04-15 12:19:09,810"
0	"2016-04-15 12:19:10,810"
0	"2016-04-15 12:19:11,819"
0	"2016-04-15 12:19:12,851"
0	"2016-04-15 12:19:13,830"
0	"2016-04-15 12:19:14,850"
1	"2016-04-15 12:19:15,843"
2	"2016-04-15 12:19:16,859"
2	"2016-04-15 12:19:17,889"
3	"2016-04-15 12:19:18,865"
2	"2016-04-15 12:19:19,889"
2	"2016-04-15 12:19:20,863"
0	"2016-04-15 12:19:21,881"
0	"2016-04-15 12:19:22,849"
1	"2016-04-15 12:19:23,856"
3	"2016-04-15 12:19:24,872"
6	"2016-04-15 12:19:25,881"
10	"2016-04-15 12:19:26,881"
14	"2016-04-15 12:19:27,882"
17	"2016-04-15 12:19:28,874"
17	"2016-04-15 12:19:29,885"
17	"2016-04-15 12:19:30,902"
16	"2016-04-15 12:19:31,903"
13	"2016-04-15 12:19:32,902"
11	"2016-04-15 12:19:33,882"
8	"2016-04-15 12:19:34,891"
4	"2016-04-15 12:19:35,883"
0	"2016-04-15 12:19:36,872"
0	"2016-04-15 12:19:37,882"
1	"2016-04-15 12:19:38,874"
2	"2016-04-15 12:19:39,931"
3	"2016-04-15 12:19:40,950"
3	"2016-04-15 12:19:41,945"
3	"2016-04-15 12:19:42,963"
5	"2016-04-15 12:19:43,970"
9	"2016-04-15 12:19:44,973"
14	"2016-04-15 12:19:45,962"
18	"2016-04-15 12:19:46,972"
22	"2016-04-15 12:19:47,970"
25	"2016-04-15 12:19:48,950"
27	"2016-04-15 12:19:49,992"
29	"2016-04-15 12:19:50,945"
29	"2016-04-15 12:19:51,964"
28	"2016-04-15 12:19:52,972"
27	"2016-04-15 12:19:53,983"
27	"2016-04-15 12:19:55,018"
27	"2016-04-15 12:19:55,991"
27	"2016-04-15 12:19:56,973"
26	"2016-04-15 12:19:57,984"
25	"2016-04-15 12:19:58,974"
24	"2016-04-15 12:19:59,973"
24	"2016-04-15 12:20:00,972"
22	"2016-04-15 12:20:01,963"
21	"2016-04-15 12:20:02,983"
18	"2016-04-15 12:20:03,994"
14	"2016-04-15 12:20:04,991"
11	"2016-04-15 12:20:06,034"
8	"2016-04-15 12:20:06,994"
6	"2016-04-15 12:20:07,986"
